THREAD_SEQUENCE,updated,RELQ_CATEGORY,RELQ_DATE,RELQ_FACT_LABEL,RELQ_ID,RELQ_USERID,RELQ_USERNAME,RelQSubject,RelQBody,RELC_DATE,Qfactlabel,RELC_ID,RELC_RELEVANCE2RELQ,RELC_USERID,RELC_USERNAME,RelCText
Q272_R51,yes,Opportunities,21-05-2010 20:20,Factual,Q272_R51,U5206,edfeeoc,Qatar petroleum technical site interview?,Elsalam Alikom every one Any one know about qatar petroleum technical site interview process ( 2days visit) as i recive the visit visa and they ask me for the earlist date to attand and also how much does it take to decide the day of interview ?? Many thanks,22-05-2010 09:01,NonFactual,Q272_R51_C2,Good,U178,dweller,If you have been invited for interview in Doha; it's likely (in my opinion) that you will be made an offer. The two days will allow enough time for you to undergo a medical; meet other staff/management; have a look around Doha; at housing available etc. Good luck.
,,,,,,,,,,05-06-2010 09:35,NonFactual,Q272_R51_C6,Good,U459,superman09,the interviewing department will endorse their evaluation about you to HR. If positive; HR will send you offer letter.. after you have accepted and agreed the offer; you need to wait 2-3 months (sometimes longer than this period) for visa processing and wait for your schedule of mobiization.
Q273_R39,yes,Moving to Qatar,17-03-2009 07:33,Factual,Q273_R39,U5214,recent_graduate,Vaccinations needed before i come to Doha?,I am in the process of coming over to work in Doha. I wanted to know if their were any specific shots and vaccinations I should get before coming over. I want to try and get these things completed before I leave the US. Any insight would be much appreciated.,17-03-2009 08:10,TRUE,Q273_R39_C1,Good,U429,tallg,Yes there are; though it varies depending on which country you come from. In the UK; the doctor has a list of all countries and the vaccinations needed for each. I'll imagine they have the same in the US.
,,,,,,,,,,17-03-2009 08:27,TRUE,Q273_R39_C2,Good,U1199,kate_n,I suggest going to visit your local GP and mention that you are moving to Qatar. They should have in their system what shots you need before coming over. It is usually for hepatitis and thyfoid i think (please excuse the spelling)
,,,,,,,,,,17-03-2009 08:32,TRUE,Q273_R39_C4,Good,U237,jasminejasmine,It depends what you have had already. You don't specifically need any extra vaccinations as long as you are up to date with the usual ones you have in the UK (not sure about US) but you can have Rabies as optional if you want. Although there is no requirement or need to have any extra protection here; it is important to remember that lots of people travel East on holidays and if you do you will need the standard typhoid; yellow fever; etc. Children need to have been vaccinated against TB before they can start school. In the UK they no longer give BCG so important to get that done before you come.
,,,,,,,,,,17-03-2009 13:07,TRUE,Q273_R39_C8,Good,U237,jasminejasmine,As I said; the official advice is that you don't HAVE to; however; they may offer you Rabies; Typhoid and Hep B as an option. As they no longer boost Tetanus as routine; you would have to have a booster before coming. That said; the UK has a vey hands off approach to immunisation at the moment as most diseases are sufficiently covered by herd immunity (where because the majority have been vaccinated the people who haven't are covered to a large extent) and cases are low. Personally as long as there is a low risk; I would have all the vaccinations I could; why not?
,,,,,,,,,,17-03-2009 13:25,TRUE,Q273_R39_C10,Good,U2506,taliesin,"""We came from here from the US and had Hep A; Typhoid; and Tdap (combined Tetanus; Diptheria; Pertussis) on top of the usual program. The Hep A was a two dose one; given six months apart. We went to our local Kelsey-Seybold clinic there and were given an international certificate of vaccination as approved by the World Health Organisation. *********** """"There's this thing called being so open-minded your brains drop out"""". - Richard Dawkins"""
Q273_R76,yes,Pets and Animals,25-06-2010 22:30,Factual,Q273_R76,U5216,vagserv,Can I bring my pitbulls to Qatar?,I am considering getting a job in Qatar and I have two very well behaved people friendly spayed pitbulls. Apparently this breed is banned. Would I have trouble importing them? If anything happened to the dogs; my husband would die; and he will not leave them in Canada if we go away. So I have to be sure they would be ok to be imported before considering taking a job.,25-06-2010 22:36,FALSE,Q273_R76_C1,Good,U2,anonymous,If they are 'banned'; as you suggest; then it obviously means that your are not allowed to bring them into Qatar.
,,,,,,,,,,25-06-2010 22:46,TRUE,Q273_R76_C2,Good,U77,qatarisun,"""they are definitely banned in Qatar... so as LP said; how do you want to import something which is banned? Custom is not going to let them in... frankly speaking; for me it sounds a bit nonsense """"very well behaved people friendly pitbulls"""".. as for me; these two don't come together; it's EITHER """"very well behaved people friendly"""" or """"pitbulls"""".. sorry; eh?... hope your husband won't be able to figure out my real name and address.. :)"""
,,,,,,,,,,26-06-2010 10:14,FALSE,Q273_R76_C10,Good,U5218,lion heart1,Yes you can bring it but be careful this kind of dog is very very very dangerous. Because I have one that my friend brought it to my last year from Kuwait. You can talk to Doha Airport to be sure about that.
Q274_R41,yes,Welcome to Qatar,04-11-2008 14:33,Factual,Q274_R41,U5227,saudisandie,How hot is Doha at the moment?,What is the weather temperature like in Doha at the moment? I have been reading the Forum Topics about the need for heaters during the winter months. Am quite worried.,04-11-2008 14:43,NonFactual,Q274_R41_C1,Good,U5012,sxnair,Between 90 - 80 Deg F
,,,,,,,,,,04-11-2008 14:46,NonFactual,Q274_R41_C2,Good,U983,QaQc,i think your question is opposite of your explanation. anyhow; 30degree right now
,,,,,,,,,,04-11-2008 14:51,NonFactual,Q274_R41_C4,Good,U757,galloper48,"""As of now; temperature in doha is (today) Max: 30C Min: 25C Humidity: 58% and in winter season (october-march) temperatures tend to go down a little bit (even close to 10C or even below; mainly in dec-jan). If this happens then heaters are a """"must"""" to have at home. Try the following links so you can have a projection of weather behaviour and then you can make your decissions. http://www.timeanddate.com/weather/qatar/doha http://www.ameinfo.com/weather/Qatar/OTBD Best of Luck...Regards"""
,,,,,,,,,,04-11-2008 14:55,NonFactual,Q274_R41_C5,Good,U5228,Qataria78,30C
,,,,,,,,,,04-11-2008 16:29,NonFactual,Q274_R41_C8,Good,U4170,dalia2008,cloudy days ;30 and humide
Q274_R68,yes,Family Life in Qatar,08-09-2008 08:07,Factual,Q274_R68,U5232,john galt,how cold is doha during winter?,i am just curious how cold is doha during winter?,08-09-2008 08:24,NonFactual,Q274_R68_C1,Good,U1042,SamyaUK,It was like London cold at night; i was freeeeeezing; heater on full blast in the car :(
,,,,,,,,,,08-09-2008 08:33,FALSE,Q274_R68_C3,Good,U317,harsha,8-10 degrees i guess?? more than the temp its the wind that makes u go crazy...
,,,,,,,,,,08-09-2008 08:41,FALSE,Q274_R68_C6,Good,U237,jasminejasmine,In 2006 it was a lovely winter. It was dark; cloudy and rained for almost every day in December. We got trapped in Doha on new years eve and were unable to get to Dukhan such was the torrential rain. It rained on and off until April and then warmed up. The coldest night was 5C but generally 7C. I remember it rained when my parents were here and that was April 2007. This last winter wasn't very cold at all; only a few days of rain and never really got below 10C at night. I love winters here; they are so cosy. On the down side; houses are not built for winter so prepare to freeze and get leaks driping everywhere. The roads don't drain very well so very wet.
,,,,,,,,,,08-09-2008 09:27,TRUE,Q274_R68_C10,Good,U5233,tnaljam,winter here in Qatar is very nice; sunny in the morning and afternoon; cool at night. some times you feel of cold and you need heater. but in general; it is lovely season. at least you can enjoy walking
Q277_R4,yes,Qatar Living Lounge,17-09-2009 10:24,Factual,Q277_R4,U2277,Acadian,child seat belts,While driving in Doha last night I witness a sad incident. A man was driving with his child on his lap. He had to make an emergency stop and his childs head impacted the steering wheel. The poor child was bleeding and crying. Many times I have seen children not properly secured in vehicles. Is there not a law regarding child safety in vehicles here in Qatar?,17-09-2009 10:29,TRUE,Q277_R4_C1,Good,U243,deedee,there is a law. No children under 10 in the front seats. Unfortunately this law is not enforced. Did you take the guys license plate # and report him? Maybe if he got a large fine it would impact him rather than his child. poor child has an idiot for a parent.
,,,,,,,,,,17-09-2009 10:33,TRUE,Q277_R4_C2,Good,U62,mjamille28,yes there is a law; unfortunately; not too much enforcement and some people are too arrogant to follow.. i see lots everyday..
Q277_R17,yes,Family Life in Qatar,11-11-2008 00:28,Factual,Q277_R17,U5252,hold_ut,Car seats,What carseat brands are available in Qatar? I´m just not sure if I should bring the kids carseats from Norway; not sure how the airlines will treat the seats; and are a bit worried that they will break them.,11-11-2008 07:04,NonFactual,Q277_R17_C1,Good,U228,Expat Sue?o,"""While car seats are available in Qatar; they're bound to be pricier than the ones you have already; and the selection will not exactly """"wow"""" you. Unfortunately I can't tell you what brands are available here since I haven't paid them any attention. I brought my two Britax Boulevards with us from the U.S. and they came through fine. I do recommend purchasing car seat travel bags if you can find them in Norway because it will definitely help keep the cloth cover in better shape. If you can't find them; though; the airline will put it in a very heavy-duty plastic bag. Hope that helps; Expat Sueño P.S. I am starting a Mums and Kids group here in Doha for expats. Be sure to get in touch with me when you arrive (or before if you have any questions). We'll have playgroups; Mums Night Out; and Expectant Moms Group; etc. There are no dues or anything like that. . .just fun :o)"""
,,,,,,,,,,11-11-2008 07:20,NonFactual,Q277_R17_C2,Good,U114,GodFather.,We brought ours from the UK.. we just bubble wrapped it and checked it in with the rest of the lugguage simple as that. ----------------- HE WHO DARES WINS
,,,,,,,,,,11-11-2008 10:20,NonFactual,Q277_R17_C5,Good,U1153,cynbob,"""This is one of my pet peaves...back home (Houston; Texas) children;according to their age; must be in a car seat. Knowing that this law does not exist here and how upset I would get; my husband warned me before hand; """"Now; you're gonna see a lot of children that should be in car seats and they're not."""" NOT having children in carseats; in the event of an accident; can lead to paralysis or even death. Everyone should wear their safety belts. SAD STORY: (I was a high school teacher) One of my students; Eric; had just earned a full football scholarship to the University of Texas. One night; he was in the backseat of a mid-size car and had fallen asleep and was not wearing his seat belt. The driver of the car Eric was in was in an accident..another driver had run a red light and side swiped their car. Eric was the only one rushed to the hopital. The others had been wearing their seatbelts and were not injured. Eric was paralyzed. Consequently; he was not able to play ball for UT. The UT law....."""
,,,,,,,,,,11-11-2008 10:29,NonFactual,Q277_R17_C6,Good,U2,anonymous,"""""""dgoodrebel will always be the rebellious good one"""""""
,,,,,,,,,,11-11-2008 10:30,NonFactual,Q277_R17_C7,Good,U5252,hold_ut,Cynbob: My children are not to ride in a car without the right carseats. My first thought was to leave my car seats her in Norway; so that when we come for a visit the grandparents have seats for them. If I can´t be sure to get well known car seats in Qatar; I will bring the seats that we have here. A little more luggage; but nothing is more important than the safety of the children.
